,CustomerID,InvoiceNo,Total_price,Cluster_0,Cluster_1,Cluster_2,Cluster_3,Cluster_4,InvoiceDate
0,12347,537626,711.79,23.400000000000002,83.4,187.2,293.35,124.44,2010-12-07 14:57:00.000001024
1,12347,542237,475.39,84.34,53.10000000000001,168.75,169.2,0.0,2011-01-26 14:29:59.999999744
2,12347,549222,386.6499999999999,81.0,71.10000000000001,119.55,115.0,0.0,2011-04-07 10:42:59.999999488
3,12347,556201,382.52,41.39999999999999,78.06,74.39999999999999,168.76,19.9,2011-06-09 13:01:00.000000256
4,12347,562032,584.91,61.30000000000001,119.7,147.95,158.16,97.80000000000001,2011-08-02 08:48:00.000000000
7,12348,539318,569.2799999999999,395.2799999999999,0.0,174.0,0.0,0.0,2010-12-16 19:09:00.000000000
8,12348,541998,20.4,20.4,0.0,0.0,0.0,0.0,2011-01-25 10:42:00.000000000
9,12348,548955,327.0,17.0,0.0,310.0,0.0,0.0,2011-04-05 10:47:00.000000000
10,12348,568172,270.0,0.0,0.0,270.0,0.0,0.0,2011-09-25 13:13:00.000000000
12,12350,543037,294.40000000000003,39.099999999999994,93.30000000000001,162.0,0.0,0.0,2011-02-02 16:01:00.000000000
13,12352,544156,296.49999999999994,10.2,17.700000000000003,113.85,53.5,101.25,2011-02-16 12:32:59.999999744
14,12352,545323,104.35,0.0,0.0,19.799999999999997,14.850000000000001,69.7,2011-03-01 14:57:00.000000000
15,12352,546869,120.33,0.0,35.400000000000006,70.08,14.850000000000001,0.0,2011-03-17 16:00:00.000000000
16,12352,547390,120.33,0.0,35.400000000000006,70.07999999999998,14.850000000000001,0.0,2011-03-22 16:08:00.000000000
17,12352,567505,286.25,0.0,16.8,107.6,113.5,48.35,2011-09-20 14:34:00.000000000
18,12352,568699,226.25,0.0,0.0,19.799999999999997,129.15,77.3,2011-09-28 14:58:00.000000000
20,12353,553900,89.0,0.0,17.700000000000003,51.4,0.0,19.9,2011-05-19 17:47:00.000000000
21,12354,550911,1079.4,161.38000000000002,116.85000000000001,413.2699999999999,212.64999999999998,175.25,2011-04-21 13:10:59.999998720
22,12355,552449,459.4,0.0,53.10000000000001,290.2,116.1,0.0,2011-05-09 13:49:00.000000000
23,12356,541430,1947.6200000000003,223.6,259.5,889.8399999999999,204.0,370.67999999999995,2011-01-18 09:49:59.999999232
24,12356,549435,481.46,174.14999999999998,94.4,212.91000000000003,0.0,0.0,2011-04-08 12:33:00.000000512
27,12358,559707,404.85999999999996,0.0,17.700000000000003,50.76,15.0,321.40000000000003,2011-07-12 10:04:00.000000000
29,12359,540946,547.5,8.4,52.7,343.3,76.5,66.6,2011-01-12 12:43:00.000000000
30,12359,543370,1838.9100000000005,97.56000000000002,144.60000000000002,863.1499999999999,271.85,461.7499999999999,2011-02-07 14:50:59.999998464
31,12359,555477,1109.3199999999997,40.31999999999999,203.5,317.05,168.45000000000002,380.0,2011-06-03 12:26:00.000001536
33,12360,554132,923.5799999999999,116.96,172.26000000000002,531.56,102.80000000000001,0.0,2011-05-23 09:42:59.999998720
34,12360,563749,454.70000000000016,47.36,222.70000000000005,134.83999999999997,49.800000000000004,0.0,2011-08-19 10:10:00.000000256
